course_id,title,description,category,difficulty,duration_hours,rating,tags,instructor,youtube_url,thumbnail_color
1,Python for Beginners,Learn Python from scratch with hands-on projects and real-world examples. Variables loops functions and OOP covered.,Programming,Beginner,20,4.8,"python,programming,beginner,coding",Dr. Alice Smith,https://www.youtube.com/embed/kqtD5dpn9C8,4f46e5
2,Machine Learning A-Z,Complete machine learning course covering supervised and unsupervised learning with scikit-learn.,Data Science,Intermediate,40,4.9,"machine learning,python,scikit-learn,data science,AI",Prof. John Doe,https://www.youtube.com/embed/GwIo3gDZCVQ,06b6d4
3,Web Development Bootcamp,Full stack web development with HTML CSS JavaScript and Node.js from zero to hero.,Web Development,Beginner,60,4.7,"html,css,javascript,web,fullstack",Sarah Johnson,https://www.youtube.com/embed/ysEN5RaKOlA,10b981
4,Deep Learning Specialization,Neural networks deep learning CNN RNN and NLP using TensorFlow and Keras.,Data Science,Advanced,50,4.9,"deep learning,neural networks,tensorflow,AI,python",Dr. Andrew Lee,https://www.youtube.com/embed/VyWAvY2CF9c,f59e0b
5,Data Structures and Algorithms,Master DSA concepts with coding problems for FAANG interviews. Arrays trees graphs.,Computer Science,Intermediate,35,4.6,"dsa,algorithms,data structures,coding,interview",Prof. Robert Brown,https://www.youtube.com/embed/8hly31xKli0,ef4444
6,React JS Complete Guide,Build modern web apps with React hooks context Redux and React Router.,Web Development,Intermediate,30,4.8,"react,javascript,frontend,web,hooks",Michael Chen,https://www.youtube.com/embed/w7ejDZ8SWv8,4f46e5
7,Database Design and SQL,Learn relational databases normalization and advanced SQL queries with MySQL.,Database,Beginner,25,4.5,"sql,database,mysql,postgresql,design",Dr. Emma Wilson,https://www.youtube.com/embed/HXV3zeQKqGY,06b6d4
8,Cloud Computing with AWS,Deploy scale and manage applications on Amazon Web Services EC2 S3 Lambda.,Cloud,Advanced,45,4.7,"aws,cloud,devops,deployment,serverless",James Martinez,https://www.youtube.com/embed/k1RI5locZE4,10b981
9,Cybersecurity Fundamentals,Network security ethical hacking and penetration testing basics with Kali Linux.,Security,Intermediate,30,4.6,"cybersecurity,networking,hacking,security,linux",Prof. Lisa Park,https://www.youtube.com/embed/3Kq1MIfTWCE,f59e0b
10,Flutter Mobile Development,Build cross-platform mobile apps for iOS and Android with Flutter and Dart.,Mobile,Intermediate,35,4.7,"flutter,dart,mobile,android,ios",Kevin Nguyen,https://www.youtube.com/embed/VPvVD8t02U8,ef4444
11,Natural Language Processing,Text processing sentiment analysis and language models with Python transformers.,Data Science,Advanced,40,4.8,"nlp,text mining,python,machine learning,transformers",Dr. Sophie Turner,https://www.youtube.com/embed/X2vAabgKiuM,4f46e5
12,DevOps and CI/CD Pipeline,Automate deployments with Docker Kubernetes Jenkins and GitHub Actions.,DevOps,Advanced,35,4.6,"docker,kubernetes,devops,cicd,automation",Tom Anderson,https://www.youtube.com/embed/9pZ2xmsSDdo,06b6d4
13,Computer Vision with OpenCV,Image processing object detection and face recognition with Python OpenCV.,Computer Vision,Intermediate,30,4.7,"opencv,computer vision,python,image processing,deep learning",Prof. David Kim,https://www.youtube.com/embed/oXlwWbU8l2o,10b981
14,Blockchain and Web3,Cryptocurrency smart contracts and decentralized application development Solidity.,Blockchain,Advanced,25,4.3,"blockchain,web3,solidity,ethereum,cryptocurrency",Ryan Lee,https://www.youtube.com/embed/SSo_EIwHSd4,f59e0b
15,Statistics for Data Science,Probability distributions hypothesis testing and statistical inference with Python.,Statistics,Beginner,20,4.5,"statistics,probability,data science,math,analysis",Dr. Priya Patel,https://www.youtube.com/embed/xxpc-HPKN28,ef4444
16,JavaScript ES6+ Mastery,Modern JavaScript features async programming promises and design patterns.,Web Development,Intermediate,25,4.7,"javascript,es6,async,programming,web",Alex Thompson,https://www.youtube.com/embed/NCwa_xi0Uuc,4f46e5
17,System Design Interview Prep,Design scalable distributed systems load balancers caches for FAANG interviews.,Computer Science,Advanced,20,4.8,"system design,interview,scalability,distributed systems,architecture",Senior Engineer A,https://www.youtube.com/embed/i53Gi_K3o7I,06b6d4
